frames,DH,var,instance
53,-19.977,5.2533,ligA
53,-18.4729,4.7662,ligA
53,-17.6351,5.7457,ligA
53,-19.1301,3.784,ligA
53,-19.0223,5.2039,ligA
53,-18.5786,4.8979,ligA
53,-17.7262,5.1772,ligA
53,-18.8315,4.9215,ligA
53,-18.5552,4.8347,ligA
53,-18.3745,5.3222,ligA
51,-23.3371,5.0692,ligB
51,-23.0633,4.0353,ligB
51,-23.3457,4.9061,ligB
51,-22.5502,4.4734,ligB
51,-23.0191,5.0687,ligB
51,-22.4764,4.7778,ligB
51,-22.437,5.6529,ligB
51,-24.0687,4.2882,ligB
51,-23.0416,4.2089,ligB
51,-22.9522,3.9295,ligB
51,-21.1626,3.9417,psA
51,-22.1206,3.8559,psA
51,-22.0156,4.1391,psA
51,-21.9462,4.0944,psA
51,-21.6066,3.3909,psA
51,-22.2723,4.3353,psA
51,-21.1799,4.0407,psA
51,-21.7059,3.5862,psA
51,-21.802,3.5981,psA
51,-21.4606,3.093,psA
51,-16.0915,4.3043,psB
51,-16.1994,4.0049,psB
51,-16.1771,3.6153,psB
51,-16.056,3.7705,psB
51,-16.5334,3.9282,psB
51,-15.7837,3.3768,psB
51,-14.9186,3.6005,psB
51,-16.5882,3.3798,psB
51,-16.2082,3.7155,psB
51,-16.1621,3.07,psB
51,-19.2972,4.6273,spA
51,-19.3346,5.7222,spA
51,-19.0551,4.8913,spA
51,-19.5003,4.747,spA
51,-19.0942,4.8386,spA
51,-18.5395,5.0896,spA
51,-17.6743,4.5194,spA
51,-18.7893,4.8433,spA
51,-19.7895,4.408,spA
51,-19.0954,4.3273,spA
51,-22.6797,3.0071,spB
51,-22.4772,2.8624,spB
51,-22.4977,2.2853,spB
51,-22.4822,2.9265,spB
51,-22.1136,3.3957,spB
51,-22.5782,3.9705,spB
51,-22.8382,3.4626,spB
51,-21.9373,3.0813,spB
51,-22.581,3.2278,spB
51,-22.6396,2.448,spB
